홈플레이트 (0,0,0), 공 시작 (0, 18.44, 33.55) : z 좌표 마운드 평균 높이 31.75 + 투수 키 1.8

1. 속도 비율 x 방향 0.03, y 방향 0.95, z 방향 0.02 최종 속력
155km/h
(18.93, -4.94, 24.95)
(19.66, -5.84, 23.30)
(20.39, -6.74, 21.55)
(21.11, -7.64, 19.70)
(21.84, -8.53, 17.75)
(22.57, -9.43, 15.71)
(23.30, -10.33, 13.56)
(24.03, -11.23, 11.32)
(24.75, -12.13, 8.98)
(25.48, -13.03, 6.54)
(26.21, -13.93, 4.01)
(26.94, -14.83, 1.37)
(27.67, -15.73, -1.36)

148km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.44)
(1.45, 16.64, 35.24)
(2.18, 15.74, 35.94)
(2.91, 14.84, 36.54)
(3.63, 13.94, 37.04)
(4.36, 13.04, 37.44)
(5.09, 12.14, 37.75)
(5.82, 11.25, 37.96)
(6.54, 10.35, 38.07)
(7.27, 9.45, 38.08)
(8.00, 8.55, 37.99)
(8.72, 7.65, 37.81)
(9.45, 6.75, 37.53)
(10.18, 5.85, 37.15)
(10.90, 4.95, 36.67)
(11.63, 4.05, 36.09)
(12.36, 3.15, 35.42)
(13.08, 2.25, 34.65)
(13.81, 1.35, 33.78)
(14.54, 0.45, 32.81)
(15.26, -0.45, 31.74)
(15.99, -1.35, 30.58)
(16.72, -2.24, 29.32)
(17.45, -3.14, 27.96)
(18.17, -4.04, 26.50)
(18.90, -4.94, 24.94)
(19.63, -5.84, 23.29)
(20.35, -6.74, 21.54)
(21.08, -7.64, 19.69)
(21.81, -8.54, 17.74)
(22.53, -9.44, 15.69)
(23.26, -10.34, 13.55)
(23.99, -11.24, 11.31)
(24.71, -12.14, 8.96)
(25.44, -13.04, 6.53)
(26.17, -13.94, 3.99)
(26.90, -14.84, 1.36)
(27.62, -15.73, -1.38)

147km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.44)
(1.45, 16.64, 35.24)
(2.18, 15.74, 35.94)
(2.90, 14.84, 36.54)
(3.63, 13.94, 37.04)
